GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
RAEBOT,com.iteso.app,App,22,0,0,0,8,0,2,0,2,0
RAEBOT,com.iteso.app.util,Requests,36,0,0,0,9,0,3,0,3,0
RAEBOT,com.iteso.app.util,WordCounter,75,0,4,0,21,0,10,0,8,0
RAEBOT,com.iteso.app.util,JsonSerializer,39,0,0,0,12,0,8,0,8,0
RAEBOT,com.iteso.app.util,Jsonifier,9,0,0,0,2,0,2,0,2,0
RAEBOT,com.iteso.app.util,Dictionary,130,0,14,0,34,0,20,0,13,0
RAEBOT,com.iteso.app.util,Word,62,0,0,0,20,0,8,0,8,0
RAEBOT,com.iteso.app.util,Requests.Request,70,0,2,0,21,0,7,0,6,0
RAEBOT,com.iteso.app.controller,FrequencyController,13,0,0,0,4,0,2,0,2,0
RAEBOT,com.iteso.app.controller,DefinitionController,20,0,0,0,7,0,2,0,2,0
